cano_smiles,FDA_APPROVED,CT_TOX,group
S1SC[C@H]2NC(=O)[C@H](NC(=O)C[C@H](OC(=O)[C@@H](NC(=O)/C(/NC2=O)=C/C)C(C)C)\C=C\CC1)C(C)C,1,0,train
Clc1nc(C(=O)NC(=[NH2+])N)c(nc1N)N,1,0,train
O1[C@H]2[C@H](OC[C@@H]2O)[C@H](O[N+](=O)[O-])C1,1,0,train
O1[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@@H](O)[C@H]1O[C@@H]1[C@@H](O)[C@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)C[C@H]2[NH3+])[C@@H]([NH3+])C[C@H]1[NH3+],1,0,train
O1[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@H]1[C@H](O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]2O)[C@H](NC(=O)[C@@H](O)CC[NH3+])C[C@@H]1[NH3+],1,0,train
O[C@H]1[C@H](O)[C@@H](O)C[NH+](CCO)[C@@H]1CO,1,0,train
O1[C@H](CO)[C@@H](O)C[C@@H]1N1C=NC(=NC1=O)N,0,1,train
O=C([O-])C1CCC(CC1)C[NH3+],1,0,train
OC12CC3(CC(C1)CC(C3)C2)[C@H]([NH3+])C(=O)N1[C@@H]2[C@H](C[C@H]1C#N)C2,1,0,train
O1[C@@H](C[NH3+])[C@@H](O)[C@H](O)[C@@H]([NH3+])[C@H]1O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO)O[C@H]1[C@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2[NH3+])[C@@H]([NH3+])C[C@@H]([NH3+])[C@@H]1O,1,0,train
O1[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@H]1[C@H](O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]2O)[C@H]([NH3+])C[C@@H]1[NH3+],1,0,train
O1[C@@H](C[NH3+])[C@@H](O)[C@H](O)[C@@H]([NH3+])[C@H]1O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO)O[C@H]1[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2[NH3+])[C@@H]([NH3+])C[C@@H]([NH3+])[C@@H]1O,1,0,train
S(O[C@@H]1[C@@H](OS(=O)(=O)[O-])[C@@H](OC[C@H]1O[C@@H]1OC[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H]1OS(=O)(=O)[O-])O)(=O)(=O)[O-],1,0,train
O1[C@H]2[C@H](OC[C@@H]2O)[C@H](O)C1,1,0,train
O1[C@H]2[C@H](OC[C@@H]2O[N+](=O)[O-])[C@H](O[N+](=O)[O-])C1,1,0,train
O1NC(=O)[C@H]([NH3+])C1,1,0,train
S1C[C@@H]2NC(=O)N[C@@H]2[C@@H]1CCCCC(=O)[O-],1,0,train
S=C1N=C(Nc2nc[nH]c12)N,1,0,train
S=C1N=CNc2nc[nH]c12,1,0,train
[O-][n+]1c(N)cc(nc1N)N1CCCCC1,1,0,train
O=C1N[C@@H](CC1)C(=O)N[C@@H](Cc1[nH]cnc1)C(=O)N1CCC[C@H]1C(=O)N,1,0,train
FC=1C=NC(=O)NC=1N,1,0,train
Clc1c(Cc2c(O)c(Cl)cc(Cl)c2Cl)c(O)c(Cl)cc1Cl,1,0,train
Ic1c(C(=O)[O-])c(I)cc(I)c1NC(=O)CCCCC(=O)Nc1c(I)c(C(=O)[O-])c(I)cc1I,1,0,train
IC#CCOc1cc(Cl)c(Cl)cc1Cl,1,0,train
Fc1cc(F)c(F)cc1C[C@@H]([NH3+])CC(=O)N1CCn2c(nnc2C(F)(F)F)C1,1,0,train
S1C[C@H](O[C@H]1CO)N1C=C(F)C(=NC1=O)N,1,0,train
FC1=CNC(=O)NC1=O,1,0,train
ClCCN(CCCl)C1=CNC(=O)NC1=O,1,0,train
FC(F)(F)C1=CN([C@@H]2O[C@H](CO)[C@@H](O)C2)C(=O)NC1=O,1,0,train
FC1=CN([C@@H]2O[C@H](CO)[C@@H](O)C2)C(=O)NC1=O,1,0,train
IC1=CN([C@@H]2O[C@H](CO)[C@@H](O)C2)C(=O)NC1=O,1,0,train
FC1=CNC(=O)NC1=O,0,1,train
Clc1cc(N)cc(Cl)c1NC1=[NH+]CCN1,1,0,train
Ic1cc(Oc2c(I)cc(cc2I)C[C@H]([NH3+])C(=O)[O-])cc(I)c1[O-],1,0,train
Ic1cc(Oc2c(I)cc(cc2I)C[C@@H]([NH3+])C(=O)[O-])cc(I)c1[O-],1,0,train
Clc1c(NC(=O)C(=O)[O-])cc(cc1NC(=O)C(=O)[O-])C#N,1,0,train
Clc1c(S(=O)(=O)N)cc(S(=O)(=O)N)cc1Cl,1,0,train
[Ca+2].O=C1N=C(NC=2NCC(N(C1=2)C=O)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])N,0,1,train
O=C1N=C(NC=2NCC(N(C1=2)C=O)CNc1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N,0,1,train
s1cc(nc1N)/C(=C/CC(=O)[O-])/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)[O-],1,0,train
Oc1ncnc2[nH]ncc12,1,0,train
Ic1c2Oc3c(cc(I)c([O-])c3I)C3(OC(=O)c4c3c(Cl)c(Cl)c(Cl)c4Cl)c2cc(I)c1[O-],1,0,train
Clc1c2N(C=C(C(=O)[O-])C(=O)c2cc(F)c1N1C[C@H]([NH3+])CCCC1)C1CC1,1,0,train
Clc1cc2NC(NS(=O)(=O)c2cc1S(=O)(=O)N)C(Cl)Cl,1,0,train
Clc1cc2NC(NS(=O)(=O)c2cc1S(=O)(=O)N)C1C2CC(C1)C=C2,1,0,train
Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N,1,0,train
O1CC=2C3=N\C(\N=C3C=NC=2CC1)=C\1/NOC=C/1,1,0,train
[nH+]1ccc(N)cc1,1,0,train
Brc1ccc(cc1)C(=O)c1cccc(CC(=O)[O-])c1N,1,0,train
Clc1cccc(Cl)c1CC(=O)[NH+]=C(N)N,1,0,train
Clc1c(cccc1Cl)-c1nnc(nc1N)N,1,0,train
Clc1c(N2CC[NH+](CC2)CCCCOc2cc3NC(=O)CCc3cc2)cccc1Cl,1,0,train
Clc1cccc(Cl)c1SC(CCc1ccc(Cl)cc1)Cn1ccnc1,1,0,train
Fc1cccc(F)c1Cn1nnc(c1)C(=O)N,1,0,train
Clc1c2CN3CC(=O)NC3=[NH+]c2ccc1Cl,1,0,train
Clc1ccc2nsnc2c1NC1=[NH+]CCN1,1,0,train
Oc1ccc(\N=N\c2cc(C(=O)[O-])c(O)cc2)cc1C(=O)[O-],1,0,train
Oc1cc(ccc1O)[C@@H](O)C[NH3+],1,0,train
Clc1cc([N+](=O)[O-])ccc1NC(=O)c1cc(Cl)ccc1O,1,0,train
FC(F)(F)c1cc([N+](=O)[O-])c(cc1)C(=O)[C-]1C(=O)CCCC1=O,1,0,train
Fc1cc(F)ccc1-c1cc(C(=O)[O-])c(O)cc1,1,0,train
Oc1cc(ccc1O)C[C@H]([NH3+])C(=O)[O-],1,0,train
Clc1cc(Cl)ccc1C(OCc1ccsc1Cl)Cn1ccnc1,1,0,train
Brc1sc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1,0,1,train
Clc1cc(Cl)ccc1CO\N=C(\Cn1ccnc1)/c1ccc(Cl)cc1Cl,1,0,train
Fc1cc(F)ccc1C(O)(Cn1ncnc1)Cn1ncnc1,1,0,train
Fc1cc(F)ccc1N1C=C(C(=O)[O-])C(=O)c2cc(F)c(nc12)N1C[C@@H]2[C@H](C1)C2[NH3+],1,0,train
Oc1ccc(N)cc1C(=O)[O-],1,0,train
Ic1cc(cc(I)c1Oc1cc(I)c(O)cc1)C[C@H]([NH3+])C(=O)[O-],1,0,train
[Pt].OC(=O)C1(CCC1)C(O)=O.N.N,0,1,train
O=C1c2c(C(=O)c3c1c([O-])ccc3[O-])c(NCC[NH2+]CCO)ccc2NCC[NH2+]CCO,1,0,train
Oc1c2c(C(=O)c3c(C2=O)c(NCCNCCO)ccc3NCCNCCO)c(O)cc1,0,1,train
O1[C@@H]2[C@]34CC[NH+]([C@H](Cc5c3c1c(O)cc5)[C@]4(O)CCC2=O)CC1CC1,1,0,train
O1[C@@H]2[C@]34CC[NH+]([C@H](Cc5c3c1c(O)cc5)[C@]4(O)CC[C@@H]2O)CC1CCC1,1,0,train
Fc1ccc(cc1)[C@@H](O)CC[C@@H]1[C@H](N(C1=O)c1ccc(F)cc1)c1ccc(O)cc1,1,0,train
Cl[C-](Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,1,0,train
Cl[C-](Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)COC(=O)CCC(=O)[O-],1,0,train
Clc1ccc(cc1)C(CC(=O)[O-])C[NH3+],1,0,train
Clc1ccc(cc1)C1(O)CC[NH+](CC1)CCCC(=O)c1ccc(F)cc1,1,0,train
O=C1N=C(NC=2NC[C@@H](N(C1=2)C=O)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])N,1,0,train
O=C1N=C(NC=2NCC(N(C1=2)C=O)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])N,1,0,train
O=C1N=C(Nc2ncc(nc12)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])N,1,0,train
O=C(NCC(=O)[O-])c1ccc(N)cc1,1,0,train
O=C1C=C/C(=N/Nc2ccc(cc2)C(=O)NCCC(=O)[O-])/C=C1C(=O)[O-],1,0,train
s1c2c(ccc(O)c2)c(C(=O)c2ccc(OCC[NH+]3CCCCC3)cc2)c1-c1ccc(O)cc1,1,0,train
Clc1c2c(cc(O)c1O)C(C[NH2+]CC2)c1ccc(O)cc1,1,0,train
o1c(ccc1\C=N\N1CC(=O)NC1=O)-c1ccc([N+](=O)[O-])cc1,1,0,train
ClCCN(CCCl)c1ccc(cc1)C[C@H]([NH3+])C(=O)[O-],1,0,train
Oc1ccc(cc1)C[C@H]([NH3+])C(=O)[O-],1,0,train
S(=O)(=O)(N)c1ccc(cc1)C[NH3+],1,0,train
O=C1N=C(Nc2[nH]cc(c12)CCc1ccc(cc1)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])N,1,0,train
O=C1N=C(Nc2[nH]cc(c12)CCc1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N,0,1,train
ClCCN(CCCl)c1ccc(cc1)CCCC(=O)[O-],1,0,train
Clc1cc(Cl)ccc1C(SCc1ccc(Cl)cc1)Cn1ccnc1,1,0,train
S(=O)(=O)(c1ccc(N)cc1)c1ccc(N)cc1,1,0,train
S(=O)(=O)(c1ccc(NCS(=O)[O-])cc1)c1ccc(NCS(=O)[O-])cc1,1,0,train
Oc1ccc(O)cc1,1,0,train
Clc1ccc(OCC(O)COC(=O)N)cc1,1,0,train
Clc1ccc(SC(P(=O)([O-])[O-])P(=O)([O-])[O-])cc1,1,0,train
O=C(N)c1cccnc1,1,0,train
P(=O)([O-])([O-])C(P(=O)([O-])[O-])(O)Cc1cccnc1,1,0,train
O=C1NC(=O)CCC1N1C(=O)c2c(cccc2N)C1=O,0,1,train
O=C1NC(=O)CCC1N1C(=O)c2c(cccc2)C1=O,0,1,train
Clc1cc(NCc2occc2)c(cc1S(=O)(=O)N)C(=O)[O-],1,0,train
o1c(ccc1[N+](=O)[O-])\C=N\N1CC(=O)NC1=O,1,0,train
O1CCN(\N=C\c2oc([N+](=O)[O-])cc2)C1=O,1,0,train
o1c(ccc1[N+](=O)[O-])\C=N\NC(=O)N,1,0,train
O1c2c(C(=O)C=C1C(=O)[O-])c(OCC(O)COc1c3c(OC(=CC3=O)C(=O)[O-])ccc1)ccc2,1,0,train
Clc1cc(Cl)c2c(nccc2)c1O,1,0,train
Ic1cc(Cl)c2c(nccc2)c1O,1,0,train
FC(F)(F)c1c2nc(cc(c2ccc1)C(O)C1[NH2+]CCCC1)C(F)(F)F,1,0,train
Clc1cc2c(NC(O[C@]2(C#CC2CC2)C(F)(F)F)=O)cc1,1,0,train
Fc1cc2CCC(Oc2cc1)C(O)C[NH2+]CC(O)C1Oc2c(cc(F)cc2)CC1,1,0,train
s1c2cc(OC(F)(F)F)ccc2nc1N,1,0,train
O(CCCCc1nnnn1C1CCCCC1)c1cc2CCC(=O)Nc2cc1,1,0,train
Clc1cc(Cl)ccc1C(OCc1c2c(sc1)c(Cl)ccc2)Cn1ccnc1,1,0,train
O=C1N(C[C@H]2CCCc3c2c1ccc3)[C@H]1C2CC[NH+](C1)CC2,1,0,train
Oc1c2ncccc2ccc1,1,0,train
Clc1ccccc1C(C(Cl)Cl)c1ccc(Cl)cc1,1,0,train
OC(=O)c1ccccc1C(=O)NCCC[C@H](NC(=O)c1ccc(NCc2nc3c(nc(nc3N)N)nc2)cc1)C(O)=O,0,1,train
Clc1ccccc1C1=NC(O)C(=O)Nc2c1cc(Cl)cc2,1,0,train
Oc1ccccc1-c1nc(nn1-c1ccc(cc1)C(=O)[O-])-c1ccccc1O,1,0,train
Clc1ccccc1C1=NCC(=O)Nc2c1cc([N+](=O)[O-])cc2,1,0,train
Clc1cc2c(N(CC(F)(F)F)C(=S)CN=C2c2ccccc2F)cc1,1,0,train
Clc1cccc(Cl)c1Nc1ccccc1CC(=O)[O-],1,0,train
S1[C@H]2N(C(C(=O)[O-])=C(C1)CSc1nnnn1CC(=O)[O-])C(=O)[C@H]2NC(=O)Cc1ccccc1C[NH3+],1,0,train
O=C([O-])CC1(CCCCC1)C[NH3+],1,0,train
n1c(N)c(\N=N\c2ccccc2)ccc1N,1,0,train
S1[C@H]2N(C(C(=O)[O-])=C(C1)CSc1nnnn1CS(=O)(=O)[O-])C(=O)[C@H]2NC(=O)[C@H](O)c1ccccc1,1,0,train
ClC=1CC[C@H]2N(C=1C(=O)[O-])C(=O)[C@H]2NC(=O)[C@H]([NH3+])c1ccccc1,1,0,train
Clc1ccc(cc1)[C@H](N1CC[NH+](CC1)CCOCC(=O)[O-])c1ccccc1,1,0,train
Clc1ccc(cc1)C(N1CC[NH+](CC1)CCOCC(=O)[O-])c1ccccc1,1,0,train
Clc1ccc(cc1)C(N1CC[NH+](CC1)CCOCCO)c1ccccc1,1,0,train
O1CCc2cc(ccc12)CC[NH+]1C[C@@H](CC1)C(C(=O)N)(c1ccccc1)c1ccccc1,1,0,train
O(C(=O)C(O)(c1ccccc1)c1ccccc1)C1CC2[N+]3(C(C1)CC2)CCCC3,1,0,train
Clc1ccccc1C(n1ccnc1)(c1ccccc1)c1ccccc1,1,0,train
S(=O)(C(c1ccccc1)c1ccccc1)CC(=O)N,1,0,train
S(=O)(C(c1ccccc1)c1ccccc1)CC(=O)N,1,0,train
OC(CC[NH+]1CCCC1)(C1CCCCC1)c1ccccc1,1,0,train
OC(CC[NH+]1CCCCC1)(C1C2CC(C1)C=C2)c1ccccc1,1,0,train
OC(CC[NH+]1CCCCC1)(C1CCCC1)c1ccccc1,1,0,train
OC(CC[NH+]1CCCCC1)(C1CCCCC1)c1ccccc1,1,0,train
OC(CCC[NH+]1CCCCC1)(c1ccccc1)c1ccccc1,1,0,train
O(CC(COC(=O)N)c1ccccc1)C(=O)N,1,0,train
O=C([O-])c1ccccc1,1,0,train
O=C(c1cccc(CC(=O)N)c1N)c1ccccc1,1,0,train
Oc1ccc(cc1)CC(NC(=O)c1ccccc1)C(=O)Nc1ccc(cc1)C(=O)[O-],1,0,train
O=C(NCC(=O)[O-])c1ccccc1,1,0,train
n1c(N)c2nc(-c3ccccc3)c(nc2nc1N)N,1,0,train
O1C(c2ccccc2)C(=O)[NH+]=C1N,1,0,train
O=C1c2c(cccc2)C(=O)C1c1ccccc1,1,0,train
[NH3+][C@@H]1CC1c1ccccc1,1,0,train
Clc1cc2c(NC(=O)C(N=C2c2ccccc2)C(=O)[O-])cc1,1,0,train
Clc1cc2c(NC(=O)C(O)N=C2c2ccccc2)cc1,1,0,train
Clc1cc2c(N(CC(F)(F)F)C(=O)CN=C2c2ccccc2)cc1,1,0,train
S1SCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](C1)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N,1,0,train
O=C([O-])Cc1ccccc1,1,0,train
O=C(NC(=O)N)Cc1ccccc1,1,0,train
[NH+]=1CCNC=1Cc1ccccc1,1,0,train
S1SCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C([NH3+])C1)Cc1ccc(O)cc1)Cc1ccccc1)CCC(=O)N)CC(=O)N)C(=O)N1CCCC1C(=O)NC(CCC[NH+]=C(N)N)C(=O)NCC(=O)N,1,0,train
S1SCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C([NH3+])C1)Cc1ccc(O)cc1)Cc1ccccc1)CCC(=O)N)CC(=O)N)C(=O)N1CCCC1C(=O)NC(CCCC[NH3+])C(=O)NCC(=O)N,1,0,train
S(=O)(=O)(N)c1cc2S(=O)(=O)NC(Nc2cc1C(F)(F)F)Cc1ccccc1,1,0,train
O=C([O-])CCCc1ccccc1,1,0,train
N(N)CCc1ccccc1,1,0,train
[NH+]=1CCNC=1CN(Cc1ccccc1)c1ccccc1,1,0,train
O(C(=O)c1ccccc1)Cc1ccccc1,1,0,train
O(Cc1ccccc1)c1ccc(O)cc1,1,0,train
O(Cc1ccccc1)CC(N(CCN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])C(=O)[O-],1,0,train
S(=O)([O-])(=Nc1n(ncc1)-c1ccccc1)c1ccc(N)cc1,1,0,train
O=C(Nc1ccccc1)CCCCCCC(=O)NO,1,1,train
ClCCN(N=O)C(=O)NC1CCCCC1,1,0,train
S(=O)(=O)(Nc1ccccc1)c1cc(ccc1)\C=C\C(=O)NO,0,1,train
O(C(=O)c1ccc(N)cc1O)c1ccccc1,1,0,train
O1C(COC12CCCCC2)C[NH+]=C(N)N,1,0,train
Clc1cc2c(Oc3c([NH+]=C2N2CC[NH2+]CC2)cccc3)cc1,1,0,train
Fc1ccc(cc1)C(CCC[NH+]1CCC(N2c3c(NC2=O)cccc3)CC1)c1ccc(F)cc1,1,0,train
Fc1ccc(cc1)C(=O)CCC[NH+]1CCC(N2c3c(NC2=O)cccc3)=CC1,1,0,train
S1c2c(cccc2)C(=[NH+]c2c1cccc2)N1CC[NH+](CC1)CCOCCO,1,0,train
Fc1ccc(cc1)-c1c2c(nc(C3CC3)c1\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])cccc2,1,0,train
O1c2c(cccc2)C([O-])=C(CC=2C(Oc3c(cccc3)C=2[O-])=O)C1=O,1,0,train
[nH+]1c2c(CCCC2)c(N)c2c1cccc2,1,0,train
O(C(=O)c1c2c([nH]c1)cccc2)C1CC2[NH+]3[C@@H](C1)CC(C2)C(=O)C3,1,0,train
Clc1ccc(Nc2nnc(c3c2cccc3)Cc2ccncc2)cc1,0,1,train
S(=O)(=O)(N)Cc1noc2c1cccc2,1,0,train
s1nc(N2CC[NH+](CC2)C[C@@H]2CCCC[C@H]2CN2C(=O)[C@H]3[C@H]([C@@H]4CC[C@H]3C4)C2=O)c2c1cccc2,1,0,train
Clc1cc2NC(=O)Cc2cc1CC[NH+]1CCN(CC1)c1nsc2c1cccc2,1,0,train
O1C2(c3c(cccc3)C1=O)c1c(Oc3c2ccc(O)c3)cc(O)cc1,1,0,train
Clc1ccc(cc1)C1(O)N2C(=[NH+]CC2)c2c1cccc2,1,0,train
Oc1c(c2c(cc1C(=O)[O-])cccc2)Cc1c2c(cc(C(=O)[O-])c1O)cccc2,1,0,train
s1cccc1C[C@H](NC(=O)CNC(=O)C1N(C[C@H](O)C1)C(=O)C1N(CCC1)C(=O)C(NC(=O)[C@H]([NH3+])CCC[NH+]=C(N)N)CCC[NH+]=C(N)N)C(=O)N[C@H](C(=O)N1Cc2c(CC1C(=O)N1[C@@H]3[C@H](CC1C(=O)N[C@@H](CCC[NH+]=C(N)N)C(=O)[O-])CCCC3)cccc2)CO,1,0,train
O=C1Cc2c(N(c3c1cccc3)C(=O)N)cccc2,1,0,train
[NH+]=1CC2N(c3c(Cc4c2cccc4)cccc3)C=1N,1,0,train
[NH+]=1CCNC=1C1CCCc2c1cccc2,1,0,train
O=C1N2C(c3c(CC2)cccc3)CN(C1)C(=O)C1CCCCC1,1,0,train
n1ncc2c(cccc2)c1NN,1,0,train
S1c2c(N(c3c1cccc3)CCCN1CC[NH+](CC1)CCO)cc(cc2)C(F)(F)F,1,0,train
Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN1CC[NH+](CC1)CCO,1,0,train
[NH+](CCN1CCCCCCC1)=C(N)N,1,0,train
S=C1N([O-])C=CC=C1,1,0,train
o1nc2cc(ccc2n1)C(=O)N1CCCCC1,0,1,train
Clc1cc(N2CC[NH+](CC2)CCCN2N=C3N(C=CC=C3)C2=O)ccc1,1,0,train
Ic1cc(F)c(Nc2c(F)c(F)ccc2C(=O)N2CC(O)(C2)[C@H]2NCCCC2)cc1,0,1,train
Clc1ccc(cc1)[C@H](OC1CC[NH+](CC1)CCCC(=O)[O-])c1ncccc1,1,0,train
S(=O)([O-])(=Nc1ncccc1)c1ccc(N)cc1,1,0,train
S1C[C@H](O[C@H]1CO)N1C=CC(=NC1=O)N,1,0,train
O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1N1C=CC(=NC1=O)N,1,1,train
Cl.FC1(F)[C@H](O)[C@H](O[C@H]1N1C=CC(=NC1=O)N)CO,0,1,train
P(=O)([O-])([O-])CO[C@@H](CN1C=CC(=NC1=O)N)CO,1,0,train
OC(C(N1CCN(CC[NH+](CCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CO)CO,1,0,train
BrCCC(=O)N1CCN(CC1)C(=O)CCBr,1,0,train
Clc1ccncc1NC(=O)N1CCN(CC1)Cc1cc2OC(F)(F)Oc2cc1,0,1,train
P(=O)([O-])([O-])C(P(=O)([O-])[O-])(O)Cn1ccnc1,1,0,train
ClCCN1P(OCCC1)(=O)NCCCl,1,1,train
S=P(N1CC1)(N1CC1)N1CC1,1,0,train
S(=O)([O-])(=Nc1ncccn1)c1ccc(N)cc1,1,0,train
O=C1N(CCCC[NH+]2CCN(CC2)c2ncccn2)C(=O)CC2(C1)CCCC2,1,0,train
[NH2+]1C[C@H]2c3c([C@H](C2)C1)cc1nccnc1c3,1,0,train
O=C(NN)c1ccncc1,1,0,train
O=C1NC=C(C=C1N)c1ccncc1,1,0,train
ClCCN(P1(OCCCN1)=O)CCCl,1,1,train
O1CCC1=O,1,0,train
O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1n1c2ncnc(N)c2nc1,1,0,train
