,smiles,FDA_APPROVED,CT_TOX,cano_smiles
30,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1,0,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
31,O[C@@H]([C@H](O)[C@H](O)CO)[C@@H](O)CO,1,0,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
32,[N+]=C(N)N,1,0,[N+]=C(N)N
33,BrC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
34,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
35,O=C(O)C(O)C(O)C(=O)O,1,0,O=C(O)C(O)C(O)C(=O)O
36,SC(C(=O)O)C(S)C(=O)O,1,0,O=C(O)C(S)C(S)C(=O)O
37,ClC(Cl)(Cl)COP(=O)([O-])[O-],1,0,O=P([O-])([O-])OCC(Cl)(Cl)Cl
38,OCC(N)(CO)CO,1,0,NC(CO)(CO)CO
39,OC(CO)CO,1,0,OCC(O)CO
40,O=[N+](OC(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],1,0,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
41,SC(CS)CO,1,0,OCC(S)CS
42,FC(F)(F)C(F)(F)C(F)(F)F,1,0,FC(F)(F)C(F)(F)C(F)(F)F
43,BrC(Cl)C(F)(F)F,1,0,FC(F)(F)C(Cl)Br
44,ClC(OC(F)F)C(F)(F)F,1,0,FC(F)OC(Cl)C(F)(F)F
45,FC(F)(F)C(F)OC(F)F,1,0,FC(F)OC(F)C(F)(F)F
46,FC(F)=C(F)F,1,0,FC(F)=C(F)F
47,O=C(O)CN,1,0,NCC(=O)O
48,O=C(O)C(O)(CC(=O)O)CC(=O)O,1,0,O=C(O)CC(O)(CC(=O)O)C(=O)O
49,ClC(F)C(F)(F)OC(F)F,1,0,FC(F)OC(F)(F)C(F)Cl
50,O=C(O)/C=C/C(=O)O,1,0,O=C(O)/C=C/C(=O)O
51,O=C([O-])[C@@H]([N+])CCC/[N+]=C(\N)/N,1,0,[N+][C@@H](CCC[N+]=C(N)N)C(=O)[O-]
52,N(CCNCCN)CCNCCN,1,0,NCCNCCNCCNCCN
53,P(=O)([O-])([O-])C(P(=O)([O-])[O-])(O)CC[N+],1,0,[N+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]
54,S(P(=O)([O-])[O-])CC[N+]CCC[N+],1,0,[N+]CCC[N+]CCSP(=O)([O-])[O-]
55,FC(F)C(N)(C(=O)O)CCCN,1,0,NCCCC(N)(C(=O)O)C(F)F
56,P(=O)([O-])([O-])C(P(=O)([O-])[O-])(O)CCC[N+],1,0,[N+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]
57,O=C(O)CCC(=O)O,1,0,O=C(O)CCC(=O)O
58,O=C(O)CCC(=O)CN,1,0,NCC(=O)CCC(=O)O
59,O=C(O)CCCO,1,0,O=C(O)CCCO
60,O=C(O)[C@@H](N)CCC(=O)N,1,0,NC(=O)CC[C@H](N)C(=O)O
61,S(SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,1,0,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
62,O=C(O)CCCCCN,1,0,NCCCCCC(=O)O
63,O=C(O)CCCCCCCC(=O)O,1,0,O=C(O)CCCCCCCC(=O)O
64,O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,1,0,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
65,O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,1,0,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
66,N(CCNCCN)CCN,1,0,NCCNCCNCCN
67,Ic1c(N(C(=O)CO)CCO)c(I)c(C(=O)NCC(O)CO)c(I)c1C(=O)NCC(O)CO,1,0,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I
68,S(=O)(=O)([O-])CCS,1,0,O=S(=O)([O-])CCS
69,SCCN,1,0,NCCS
70,O=C(O)O,1,0,O=C(O)O
71,P(=O)([O-])([O-])C(=O)O,1,0,O=C(O)P(=O)([O-])[O-]
72,O=C(N)N,1,0,NC(N)=O
73,O=C(NO)N,1,0,NC(=O)NO
74,FC(F)(F)C(OCF)C(F)(F)F,1,0,FCOC(C(F)(F)F)C(F)(F)F
75,ClC1=CC2=C(N([O-])C/C(=[N+]\C)/N=C2C=C1)c1ccccc1,1,0,C/[N+]=C1\CN([O-])C(c2ccccc2)=c2cc(Cl)ccc2=N1
76,Oc1ccc(/C(/C(=C\C)/c2ccc(O)cc2)=C/C)cc1,1,0,C/C=C(C(=C/C)\c1ccc(O)cc1)/c1ccc(O)cc1
77,O=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(/C=C/C)CS[C@H]12)[C@H](N)c1ccc(O)cc1,1,0,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
78,O=C1[C@H](C(C)C)NC(=O)/C(=C\C)/NC(=O)[C@@H]2NC(=O)[C@@H](C(C)C)NC(=O)C[C@H](O1)/C=C/CCSSC2,1,0,C/C=C1/NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
79,Clc1c(N)nc(N)c(C(=O)NC(=[N+])N)n1,1,0,[N+]=C(N)NC(=O)c1nc(Cl)c(N)nc1N
80,O=[N+](O[C@H]1[C@H]2OC[C@H](O)[C@H]2OC1)[O-],1,0,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12
81,O([C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@H](N)C[C@H](O)[C@@H](CN)O2)[C@@H](N)C[C@H]1N)[C@@H]1[C@H](O)[C@@H](N)[C@H](O)[C@@H](CO)O1,1,0,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O
82,O=C(N[C@H]1[C@H](O[C@@H]2[C@H](O)[C@@H](N)[C@H](O)[C@@H](CO)O2)[C@@H](O)[C@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CN)O2)[C@@H](N)C1)[C@@H](O)CCN,1,0,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
83,OCCN1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)C1,1,0,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
85,O=C(O)C1CCC(CN)CC1,1,0,NCC1CCC(C(=O)O)CC1
87,O=C([C@@H](N)C12CC3(O)CC(C1)CC(C3)C2)N1[C@H](C#N)C[C@H]2[C@@H]1C2,1,0,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2
88,O=C(O)[C@H]1/C(=C\CO)/O[C@H]2N1C(=O)C2,1,0,O=C(O)[C@H]1/C(=C\CO)O[C@@H]2CC(=O)N21
89,O([C@H]1[C@H](O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@@H](CN)O2)[C@@H](N)C[C@@H](N)[C@@H]1O)[C@H]1[C@H](O)[C@H](O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@H](CN)O2)[C@@H](CO)O1,1,0,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
90,O([C@H]1[C@H](O)[C@@H](O[C@@H]2[C@H](O)[C@@H](N)[C@H](O)[C@@H](CO)O2)[C@H](N)C[C@@H]1N)[C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CN)O1,1,0,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
91,O([C@H]1[C@H](O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@@H](CO)O2)[C@@H](N)C[C@@H](N)[C@@H]1O)[C@H]1[C@H](O)[C@H](O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@H](CN)O2)[C@@H](CO)O1,1,0,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
92,S(=O)(=O)(O[C@@H]1[C@@H](OS(=O)(=O)[O-])[C@H](O)CO[C@H]1O[C@H]1[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@H](O)OC1)[O-],1,0,O=S(=O)([O-])O[C@H]1[C@H](O)CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)[O-])[C@H]2OS(=O)(=O)[O-])[C@@H]1OS(=O)(=O)[O-]
93,O[C@H]1[C@H]2OC[C@H](O)[C@H]2OC1,1,0,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12
94,O=[N+](O[C@H]1[C@H]2OC[C@H](O[N+](=O)[O-])[C@H]2OC1)[O-],1,0,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
95,O=C1[C@H](N)CON1,1,0,N[C@@H]1CONC1=O
96,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,1,0,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
97,O=C1NC=Nc2n([C@@H]3O[C@H](CO)CC3)cnc12,1,0,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1
100,[O-][n+]1c(N)nc(N2CCCCC2)cc1N,1,0,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
101,O=C([C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1[nH]cnc1)N1[C@H](C(=O)N)CCC1,1,0,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1
102,NCCc1[nH]cnc1,1,0,NCCc1cnc[nH]1
103,FC1=C(N)NC(=O)N=C1,1,0,Nc1[nH]c(=O)ncc1F
104,Clc1c(Cc2c(Cl)c(Cl)cc(Cl)c2O)c(O)c(Cl)cc1Cl,1,0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
105,Ic1c(NC(=O)CCCCC(=O)Nc2c(I)c(C(=O)O)c(I)cc2I)c(I)cc(I)c1C(=O)O,1,0,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I
106,Ic1c(NC(=O)CCOCCOCCOCCOCCC(=O)Nc2c(I)c(C(=O)O)c(I)cc2I)c(I)cc(I)c1C(=O)O,1,0,O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I
107,IC#CCOc1c(Cl)cc(Cl)c(Cl)c1,1,0,Clc1cc(Cl)c(OCC#CI)cc1Cl
108,FC(F)(F)c1n2c(nn1)CN(C(=O)C[C@H](N)Cc1c(F)cc(F)c(F)c1)CC2,1,0,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
109,FC=1C(N)=NC(=O)N([C@H]2O[C@@H](CO)SC2)C=1,1,0,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
111,ClCCN(CCCl)C=1C(=O)NC(=O)NC=1,1,0,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
112,FC(F)(F)C=1C(=O)NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2)C=1,1,0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F
113,FC=1C(=O)NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2)C=1,1,0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
114,IC=1C(=O)NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2)C=1,1,0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
116,Clc1c(/N=C/2\NCCN\2)c(Cl)cc(N)c1,1,0,Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1
117,Ic1c(Oc2cc(I)c(O)c(I)c2)c(I)cc(C[C@H]([N+])C(=O)[O-])c1,1,0,[N+][C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-]
118,Ic1c(Oc2cc(I)c(O)c(I)c2)c(I)cc(C[C@@H]([N+])C(=O)[O-])c1,1,0,[N+][C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)[O-]
119,Clc1c(NC(=O)C(=O)O)cc(C#N)cc1NC(=O)C(=O)O,1,0,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1
120,O=C(OC[C@@H]1[C@@H](OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)[C@H](OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)[C@@H](OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)[C@H](OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)O1)c1cc(OC(=O)c2cc(O)c(O)c(O)c2)c(O)c(O)c1,1,0,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
121,Clc1c(Cl)cc(S(=O)(=O)N)cc1S(=O)(=O)N,1,0,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
124,S(=O)(=O)(/N=C(/N)\CCSCc1nc(/N=C(\N)/N)sc1)N,1,0,NC(N)=Nc1nc(CSCC/C(N)=N\S(N)(=O)=O)cs1
125,O=C(N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)/C(=C/CC(=O)O)/c1nc(N)sc1,1,0,Nc1nc(/C(=C\CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1
126,ClCC1OC1,1,0,ClCC1CO1
127,Oc1ncnc2[nH]ncc12,1,0,Oc1ncnc2[nH]ncc12
128,Ic1c(O)c(I)cc2C3(OC(=O)c4c(Cl)c(Cl)c(Cl)c(Cl)c34)c3c(c(I)c(O)c(I)c3)Oc12,1,0,O=C1OC2(c3cc(I)c(O)c(I)c3Oc3c2cc(I)c(O)c3I)c2c(Cl)c(Cl)c(Cl)c(Cl)c21
129,Clc1c(N2C[C@H](N)CCCC2)c(F)cc2C(=O)C(C(=O)O)=CN(C3CC3)c12,1,0,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1
130,ClC(Cl)C1NS(=O)(=O)c2c(N1)cc(Cl)c(S(=O)(=O)N)c2,1,0,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
131,Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NC(C3C4C=CC(C3)C4)Nc2c1,1,0,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
132,Clc1c(S(=O)(=O)N)cc2S(=O)(=O)NCNc2c1,1,0,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
133,Fc1c(N2CCNCC2)cc2N(C3CC3)C=C(C(=O)O)C(=O)c2c1,1,0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
134,NC12CC3CC(C1)CC(C2)C3,1,0,NC12CC3CC(CC(C3)C1)C2
135,C/1(=C/2\NOC=C\2)\N=C2C(=N\1)C=NC1=C2COCC1,1,0,C1=C/C(=C2\N=c3cnc4c(c3=N2)COCC4)NO1
136,O=C(N/C=C\1/C(=O)N[C@@H]([C@@H]2NC(N)=[N+]CC2)C(=O)NC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CNC(=O)C[C@@H]([N+])CCC[N+])C(=O)N/1)N,1,0,[N+]CCC[C@H]([N+])CC(=O)NC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CC[N+]=C(N)N2)NC(=O)/C(=C/NC(N)=O)NC1=O
137,Nc1ccncc1,1,0,Nc1ccncc1
138,NCCc1n[nH]cc1,1,0,NCCc1cc[nH]n1
139,Brc1ccc(C(=O)c2c(N)c(CC(=O)O)ccc2)cc1,1,0,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1
140,Clc1c(CC(=O)/N=C(\N)/N)c(Cl)ccc1,1,0,NC(N)=NC(=O)Cc1c(Cl)cccc1Cl
141,Clc1c(Cl)cccc1-c1c(N)nc(N)nn1,1,0,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
143,Clc1c(/N=C/2\NCCN\2)c(Cl)ccc1,1,0,Clc1cccc(Cl)c1N=C1NCCN1
144,Clc1c(SC(CCc2ccc(Cl)cc2)Cn2cncc2)c(Cl)ccc1,1,0,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1
145,Fc1c(Cn2nnc(C(=O)N)c2)c(F)ccc1,1,0,NC(=O)c1cn(Cc2c(F)cccc2F)nn1
146,Clc1c(Cl)ccc2N=C3N(CC(=O)N3)Cc12,1,0,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
147,Brc1c(NC2=NCCN2)ccc2nccnc12,1,0,Brc1c(NC2=NCCN2)ccc2nccnc12
148,Clc1c(/N=C/2\NCCN\2)c2nsnc2cc1,1,0,Clc1ccc2nsnc2c1N=C1NCCN1
149,O=C(O)c1c(O)ccc(N=Nc2cc(C(=O)O)c(O)cc2)c1,1,0,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O
150,O[C@@H](CN)c1cc(O)c(O)cc1,1,0,NC[C@H](O)c1ccc(O)c(O)c1
151,Clc1c(NC(=O)c2c(O)ccc(Cl)c2)ccc([N+](=O)[O-])c1,1,0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
152,FC(F)(F)c1cc([N+](=O)[O-])c(C(=O)C2C(=O)CCCC2=O)cc1,1,0,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
153,Clc1c(NC(=O)c2cc(OCC3CC3)c(OC(F)F)cc2)c(Cl)cnc1,1,0,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1
154,Fc1c(-c2cc(C(=O)O)c(O)cc2)ccc(F)c1,1,0,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
155,O=C(O)[C@@H](N)Cc1cc(O)c(O)cc1,1,0,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
156,Oc1c(O)ccc(CCN)c1,1,0,NCCc1ccc(O)c(O)c1
157,Clc1c(COC(Cn2cncc2)c2c(Cl)cc(Cl)cc2)ccs1,1,0,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
158,Brc1sc(S(=O)(=O)NC(=O)c2c(Cl)cc(Cl)cc2)cc1,0,1,O=C(NS(=O)(=O)c1ccc(Br)s1)c1ccc(Cl)cc1Cl
159,Clc1c(/C(=N/OCc2c(Cl)cc(Cl)cc2)/Cn2cncc2)ccc(Cl)c1,1,0,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
160,Clc1c(C(OCc2c(Cl)cc(Cl)cc2)Cn2cncc2)ccc(Cl)c1,1,0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
161,Clc1c(Oc2c(O)cc(Cl)cc2)ccc(Cl)c1,1,0,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
162,Fc1c(C(O)(Cn2ncnc2)Cn2ncnc2)ccc(F)c1,1,0,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
163,Fc1c(N2c3nc(N4C[C@H]5C(N)[C@H]5C4)c(F)cc3C(=O)C(C(=O)O)=C2)ccc(F)c1,1,0,NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12
164,O=C(O)c1c(O)ccc(N)c1,1,0,Nc1ccc(O)c(C(=O)O)c1
165,O=C(O)c1c(O)cc(N)cc1,1,0,Nc1ccc(C(=O)O)c(O)c1
166,Ic1c(Oc2cc(I)c(O)cc2)c(I)cc(C[C@H](N)C(=O)O)c1,1,0,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
167,FC(F)(F)COc1c(C(=O)NCC2NCCCC2)cc(OCC(F)(F)F)cc1,1,0,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
168,O=C(O)C1(C(=O)O)CCC1,0,1,O=C(O)C1(C(=O)O)CCC1
169,O=C1c2c(O)ccc([O-])c2C(=O)c2c(NCC[N+]CCO)ccc(NCCNCCO)c12,1,0,O=C1c2c([O-])ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCC[N+]CCO)c21
170,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c12,0,1,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
171,O=C1[C@@H]2Oc3c(O)ccc4c3[C@@]32[C@](O)([C@H](N(CC2CC2)CC3)C4)CC1,1,0,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
172,O[C@@H]1[C@@H]2Oc3c(O)ccc4c3[C@@]32[C@](O)([C@H](N(CC2CCC2)CC3)C4)CC1,1,0,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314
