,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,cano_smiles
22,Phorate,-3.747,1,260.38599,0,0,8,18.459999,-4.110000100000001,S=P(SCSCC)(OCC)OCC,CCOP(=S)(OCC)SCSCC
23,Phenacetin,-2.342,1,179.21899,1,1,3,38.330002,-2.3499999,O=C(Nc1ccc(OCC)cc1)C,CCOc1ccc(NC(C)=O)cc1
24,Dinitramine,-4.4790000999999995,1,322.24301,1,1,5,115.54,-5.4699998,FC(F)(F)c1c(N)c([N+](=O)[O-])c(N(CC)CC)c([N+](=O)[O-])c1,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
25,1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.8099999,OCCCCCCC,CCCCCCCO
26,Theophylline,-1.452,1,180.16701,1,2,0,72.68,-1.39,O=C1N(C)C(=O)c2[nH]cnc2N1C,Cn1c(=O)c2[nH]cnc2n(C)c1=O
27,Butethal,-1.974,1,212.24899,2,1,4,75.269997,-1.661,O=C1C(CCCC)(CC)C(=O)NC(=O)N1,CCCCC1(CC)C(=O)NC(=O)NC1=O
28,"P,P'-DDE",-6.553,1,318.03,0,2,2,0.0,-6.900000099999999,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
29,Methyl octanoate,-2.608,1,158.241,0,0,6,26.299999,-3.1700001,O=C(OC)CCCCCCC,CCCCCCCC(=O)OC
30,"1,4-Diethylbenzene ",-3.6329998999999997,1,134.222,0,1,2,0.0,-3.75,C(C)c1ccc(CC)cc1,CCc1ccc(CC)cc1
31,Terbufos,-4.367000099999999,1,288.44,0,0,7,18.459999,-4.755000099999999,S=P(SCSC(C)(C)C)(OCC)OCC,CCOP(=S)(OCC)SCSC(C)(C)C
32,Phenmedipham,-4.2290000999999995,1,300.314,2,2,3,76.660004,-4.8049998,O=C(OC)Nc1cc(OC(=O)Nc2cc(C)ccc2)ccc1,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
33,"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0.0,-1.64,ClC(Cl)=C,C=C(Cl)Cl
34,1-Methylfluorene,-4.4780002,1,180.25,0,3,0,0.0,-5.2199998,Cc1c2c(-c3c(cccc3)C2)ccc1,Cc1cccc2c1Cc1ccccc1-2
35,Valeraldehyde,-1.103,1,86.134003,0,0,3,17.07,-0.85000002,O=CCCCC,CCCCC=O
36,Diphenylamine,-3.8570001000000005,2,169.22701,1,2,2,12.03,-3.5039998999999997,N(c1ccccc1)c1ccccc1,c1ccc(Nc2ccccc2)cc1
37,Fenothiocarb,-3.2969998999999994,1,253.36700000000002,0,1,6,29.540001,-3.927,S(C(=O)N(C)C)CCCCOc1ccccc1,CN(C)C(=O)SCCCCOc1ccccc1
38,Piperophos,-4.6370001,1,353.48999,0,1,9,38.77,-4.150000100000001,S=P(SCC(=O)N1C(C)CCCC1)(OCCC)OCCC,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
39,1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.8099999,ICCCCCCC,CCCCCCCI
40,3-Chlorobiphenyl,-4.6849999,1,188.657,0,2,1,0.0,-4.880000099999999,Clc1cc(-c2ccccc2)ccc1,Clc1cccc(-c2ccccc2)c1
41,4-Pentene-1-ol,-0.79100001,1,86.134003,1,0,3,20.23,-0.15000001,OCCCC=C,C=CCCCO
42,Cyclobutyl-5-spirobarbituric acid,-0.52700001,1,168.15198999999998,2,2,0,75.269997,-1.655,O=C1C2(C(=O)NC(=O)N1)CCC2,O=C1NC(=O)C2(CCC2)C(=O)N1
43,menthol,-2.7820001,1,156.269,1,1,1,20.23,-2.53,OC1C(C(C)C)CCC(C)C1,CC1CCC(C(C)C)C(O)C1
44,Isopropyl formate,-0.68400002,1,88.106003,0,0,2,26.299999,-0.63,O=COC(C)C,CC(C)OC=O
45,2-Heptanol ,-1.6780000000000002,1,116.204,1,0,4,20.23,-1.55,OC(CCCCC)C,CCCCCC(C)O
46,p-Bromoacetanilide,-3.0120001,1,214.062,1,1,1,29.1,-3.0829999,Brc1ccc(NC(=O)C)cc1,CC(=O)Nc1ccc(Br)cc1
47,brompyrazone,-3.0050001,1,266.09799,1,2,1,60.91,-3.1270001,BrC=1C(=O)N(c2ccccc2)N=CC=1N,Nc1cnn(-c2ccccc2)c(=O)c1Br
48,nifedipine,-4.2480001,1,346.33898999999997,1,2,4,107.77,-4.7600002,O=[N+]([O-])c1c(C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OC)cccc1,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
49,"2,7-dimethylquinoline",-3.342,1,157.216,0,2,0,12.89,-1.9400001,Cc1nc2c(cc1)ccc(C)c2,Cc1ccc2ccc(C)nc2c1
50,1-Octyne ,-2.5090001,1,110.2,0,0,4,0.0,-3.6600001000000004,C(#C)CCCCCC,C#CCCCCCC
51,cyclobarbital,-2.421,1,236.271,2,2,2,75.269997,-2.1700001,O=C1C(CC)(C(=O)NC(=O)N1)C1=CCCCC1,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
52,Chrysene,-5.5679998,2,228.29401000000001,0,4,0,0.0,-8.057000200000001,c12c(c3c(cc1)cccc3)ccc1c2cccc1,c1ccc2c(c1)ccc1c3ccccc3ccc21
53,Bromacil,-3.4189998999999998,1,261.11899,1,1,2,54.860001000000004,-2.523,BrC=1C(=O)N(C(CC)C)C(=O)NC=1C,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
54,"2,2',3,3',5,6-PCB",-7.184999900000001,1,360.88199,0,2,1,0.0,-8.6000004,Clc1c(c(Cl)c(Cl)cc1Cl)-c1c(Cl)c(Cl)ccc1,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
55,2-Methylphenol,-2.2809999,1,108.14,1,1,0,20.23,-0.62,Oc1c(C)cccc1,Cc1ccccc1O
56,"2,2,5-Trimethylhexane",-3.6310000000000002,1,128.259,0,0,2,0.0,-5.0500002,C(CCC(C)C)(C)(C)C,CC(C)CCC(C)(C)C
57,"1,4-Dimethylnaphthalene ",-4.1469998,1,156.22799999999998,0,2,0,0.0,-4.139999899999999,Cc1c2c(c(C)cc1)cccc2,Cc1ccc(C)c2ccccc12
58,6-Methylchrysene,-5.9310002,1,242.321,0,4,0,0.0,-6.570000200000001,Cc1c2c(c3c(c4c(cc3)cccc4)c1)cccc2,Cc1cc2c3ccccc3ccc2c2ccccc12
59,2-Pentanone,-0.84600002,1,86.134003,0,0,2,17.07,-0.19,O=C(CCC)C,CCCC(C)=O
60,"2,2',3,3',5,5',6,6'-PCB",-8.3039999,1,429.772,0,2,1,0.0,-9.1499996,Clc1c(c(Cl)c(Cl)cc1Cl)-c1c(Cl)c(Cl)cc(Cl)c1Cl,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
61,Methyl butyrate,-1.545,1,116.16,0,0,3,26.299999,-0.81999999,O=C(OCCC)CC,CCCOC(=O)CC
62,Triamcinolone,-2.734,1,394.439,4,4,2,115.06,-3.6800001000000004,FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)CO)C(O)C1)CC2O,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F
63,p-Aminophenol,-1.2309999,1,109.12799999999999,2,1,0,46.25,-0.80000001,Oc1ccc(N)cc1,Nc1ccc(O)cc1
64,Benznidazole,-2.3210001,1,260.25299,1,2,5,90.059998,-2.8099998999999998,O=[N+]([O-])c1n(CC(=O)NCc2ccccc2)ccn1,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
65,"Atovaquone(0,430mg/ml) - neutral",-6.2690000999999995,1,366.84398999999996,1,4,2,54.369999,-5.9310002,Clc1ccc(C2CCC(C3=C(O)C(=O)c4c(C3=O)cccc4)CC2)cc1,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
66,Trietazine,-3.233,1,229.715,1,1,5,53.939999,-4.059999899999999,Clc1nc(N(CC)CC)nc(NCC)n1,CCNc1nc(Cl)nc(N(CC)CC)n1
67,Pyrazinamide,-0.67400002,1,123.115,1,1,1,68.870003,-0.667,O=C(N)c1nccnc1,NC(=O)c1cnccn1
68,Carbromal,-2.198,1,237.097,2,0,3,72.190002,-2.6800001,BrC(C(=O)NC(=O)N)(CC)CC,CCC(Br)(CC)C(=O)NC(N)=O
69,"2,2'-PCB",-4.9840002,1,223.10201,0,2,1,0.0,-5.27,Clc1c(-c2c(Cl)cccc2)cccc1,Clc1ccccc1-c1ccccc1Cl
70,nitrofurantoin,-1.2429999999999999,1,238.15900000000002,1,2,3,118.05,-3.3800001,O=[N+]([O-])c1oc(/C=N/N2C(=O)NC(=O)C2)cc1,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
71,Nitrofen,-5.3610001,1,284.09799,0,2,3,52.369999,-5.46,Clc1c(Oc2ccc([N+](=O)[O-])cc2)ccc(Cl)c1,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
72,Camphor,-2.158,1,152.237,0,2,0,17.07,-1.96,O=C1C2(C)C(C)(C)C(C1)CC2,CC12CCC(CC1=O)C2(C)C
73,5-Allyl-5-phenylbarbital,-2.3599999,1,244.25,2,2,3,75.269997,-2.369,O=C1C(CC=C)(c2ccccc2)C(=O)NC(=O)N1,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
74,Pentyl propanoate,-1.899,1,130.187,0,0,4,26.299999,-2.25,O=C(OCC)CCCC,CCCCC(=O)OCC
75,Isopentyl acetate,-1.817,1,130.187,0,0,3,26.299999,-1.92,O=C(OCCC(C)C)C,CC(=O)OCCC(C)C
76,3-Hexanoyloxymethylphenyltoin,-4.152999899999999,1,380.444,1,3,8,75.709999,-5.8860002,O=C(OCN1C(=O)C(c2ccccc2)(c2ccccc2)NC1=O)CCCCC,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
77,"2,3',5-PCB",-5.7620001,1,257.547,0,2,1,0.0,-6.0100002,Clc1c(-c2cc(Cl)ccc2)cc(Cl)cc1,Clc1cccc(-c2cc(Cl)ccc2Cl)c1
78,1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73,BrCCC,CCCBr
79,Propiconazole,-4.6030002,1,342.22601000000003,0,3,5,49.169998,-3.4930000000000003,Clc1c(C2(Cn3ncnc3)OC(CCC)CO2)ccc(Cl)c1,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
80,Formothion,-2.0869999,1,257.27301,0,0,6,55.84,-1.995,S=P(SCC(=O)N(C=O)C)(OC)OC,COP(=S)(OC)SCC(=O)N(C)C=O
81,4-methylpteridine,-1.24,1,146.153,0,2,0,51.560001,-0.46599999,Cc1ncnc2nccnc12,Cc1ncnc2nccnc12
82,Thiourea,0.32899999999999996,1,76.124001,2,0,0,52.040001000000004,0.31999999,S=C(N)N,NC(N)=S
83,p-Xylene ,-3.0350001,1,106.16799999999999,0,1,0,0.0,-2.77,Cc1ccc(C)cc1,Cc1ccc(C)cc1
84,"1,2-Diethylbenzene",-3.6010001000000003,1,134.222,0,1,2,0.0,-3.28,C(C)c1c(CC)cccc1,CCc1ccccc1CC
85,Hexachloroethane,-4.2150002,1,236.74001,0,0,0,0.0,-3.6700001,ClC(Cl)(Cl)C(Cl)(Cl)Cl,ClC(Cl)(Cl)C(Cl)(Cl)Cl
86,Flucythrinate,-6.8779997999999996,1,451.46899,0,3,9,68.550003,-6.875999900000001,FC(F)Oc1ccc(C(C(=O)OC(C#N)c2cc(Oc3ccccc3)ccc2)C(C)C)cc1,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1
87,1-Nitropropane,-0.81599998,1,89.094002,0,0,2,43.139998999999996,-0.80000001,O=[N+]([O-])CCC,CCC[N+](=O)[O-]
88,Menthone,-2.516,1,154.25301000000002,0,1,1,17.07,-2.3499999,O=C1C(C(C)C)CCC(C)C1,CC1CCC(C(C)C)C(=O)C1
89,RTI 24,-4.422999900000001,1,273.72299,1,3,1,45.23,-5.3600001,Clc1cc2N(CC)c3ncccc3C(=O)Nc2cc1,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21
90,"2,3-Dichloronitrobenzene",-3.322,1,192.00101,0,1,1,43.139998999999996,-3.48,Clc1c(Cl)cccc1[N+](=O)[O-],O=[N+]([O-])c1cccc(Cl)c1Cl
91,thiamylal,-3.063,1,254.355,2,1,5,58.200001,-3.46,S=C1NC(=O)C(C(CCC)C)(CC=C)C(=O)N1,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
92,Fluoranthene,-4.9569998,2,202.25599999999997,0,4,0,0.0,-6.0,c12c3cccc1-c1c(-c2ccc3)cccc1,c1ccc2c(c1)-c1cccc3cccc-2c13
93,Propylisopropylether,-1.354,1,102.177,0,0,3,9.2299995,-1.34,O(C(C)C)CCC,CCCOC(C)C
94,"1,3-Dimethylnaphthalene",-4.1469998,1,156.22799999999998,0,2,0,0.0,-4.29,Cc1c2c(cc(C)c1)cccc2,Cc1cc(C)c2ccccc2c1
95,diethylstilbestrol,-5.0739999000000005,1,268.35598999999996,2,2,4,40.459998999999996,-4.0700002,Oc1ccc(/C(=C(\CC)/c2ccc(O)cc2)/CC)cc1,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
96,Chlorothalonil,-3.9949999,1,265.914,0,1,0,47.580002,-5.6399999,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
97,"2,3',4',5-PCB",-6.3119998,1,291.992,0,2,1,0.0,-7.25,Clc1c(Cl)ccc(-c2c(Cl)ccc(Cl)c2)c1,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1
98,styrene oxide,-1.8259999999999998,2,120.15100000000001,0,2,1,12.53,-1.6,c1(C2OC2)ccccc1,c1ccc(C2CO2)cc1
99,Isopropylbenzene ,-3.2650001,1,120.195,0,1,1,0.0,-3.27,C(C)(C)c1ccccc1,CC(C)c1ccccc1
100,Deoxycorticosterone,-3.9389998999999998,1,330.46799,1,4,2,54.369999,-3.45,O=C(CO)C1C2(C)C(C3C(C4(C)C(=CC(=O)CC4)CC3)CC2)CC1,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12
101,chlorquinox,-4.4380002,1,267.92999,0,2,0,25.780001000000002,-5.4299998,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,Clc1c(Cl)c(Cl)c2nccnc2c1Cl
102,L-arabinose,0.60100001,1,150.13,4,1,0,90.150002,0.38999999,OC1C(O)C(O)COC1O,OC1COC(O)C(O)C1O
103,Dichloromethane,-1.156,1,84.932999,0,0,0,0.0,-0.63,ClCCl,ClCCl
104,1-Ethylnaphthalene ,-4.099999899999999,1,156.22799999999998,0,2,1,0.0,-4.1700001,C(C)c1c2c(ccc1)cccc2,CCc1cccc2ccccc12
105,Methyl formate,-0.048,1,60.051998,0,0,1,26.299999,0.57999998,O=COC,COC=O
106,o-Nitrophenol,-2.3180001,1,139.11,1,1,1,63.369999,-1.74,O=[N+]([O-])c1c(O)cccc1,O=[N+]([O-])c1ccccc1O
107,thymine,-0.77999997,1,126.115,2,1,0,65.720001,-1.506,O=C1C(C)=CNC(=O)N1,Cc1c[nH]c(=O)[nH]c1=O
108,2-Methylpropane,-1.891,1,58.124001,0,0,0,0.0,-2.55,C(C)(C)C,CC(C)C
109,Inosine,-0.83399999,1,268.22900000000004,4,3,2,133.75,-1.23,OCC1C(O)C(O)C(n2c3ncnc(O)c3nc2)O1,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O
110,Ioxynil,-4.6149998,1,370.91501,1,1,0,44.02,-3.6099998999999996,Ic1c(O)c(I)cc(C#N)c1,N#Cc1cc(I)c(O)c(I)c1
111,Niclosamide,-5.032000099999999,1,327.12299,2,2,3,92.470001,-4.6999998,Clc1c(NC(=O)c2c(O)ccc(Cl)c2)ccc([N+](=O)[O-])c1,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
112,Pentane,-2.2609999,1,72.15100100000001,0,0,2,0.0,-3.1800001,C(CC)CC,CCCCC
113,Phenol,-1.9910001,1,94.112999,1,1,0,20.23,0.0,Oc1ccccc1,Oc1ccccc1
114,2-aminoanthracene,-3.7889999999999997,1,193.24899,1,3,0,26.02,-5.170000099999999,Nc1cc2c(cc3c(c2)cccc3)cc1,Nc1ccc2cc3ccccc3cc2c1
115,theobromine,-1.05,1,180.16701,1,2,0,72.68,-2.523,O=C1N(C)c2ncn(C)c2C(=O)N1,Cn1cnc2c1c(=O)[nH]c(=O)n2C
116,Isoquinoline,-2.5309999,2,129.162,0,2,0,12.89,-1.45,n1cc2c(cc1)cccc2,c1ccc2cnccc2c1
117,Anilofos,-5.1059999000000005,1,367.85999,0,1,7,38.77,-4.4320002,Clc1ccc(N(C(=O)CSP(=S)(OC)OC)C(C)C)cc1,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C
118,Hexylbenzene ,-4.2199998,1,162.276,0,1,5,0.0,-5.21,C(CCC)CCc1ccccc1,CCCCCCc1ccccc1
119,2-Chlorobiphenyl,-4.5279999,1,188.657,0,2,1,0.0,-4.54,Clc1c(-c2ccccc2)cccc1,Clc1ccccc1-c1ccccc1
120,2-Methyl-1-Pentene,-2.3480000000000003,1,84.162003,0,0,2,0.0,-3.03,C(=C)(CCC)C,C=C(C)CCC
121,"2,3,4-Trimethylpentane",-3.2760000000000002,1,114.23200000000001,0,0,2,0.0,-4.8000002,C(C(C)C)(C(C)C)C,CC(C)C(C)C(C)C
122,Pentachlorobenzene,-5.1680002,1,250.33900000000003,0,1,0,0.0,-5.6500001,Clc1c(Cl)c(Cl)cc(Cl)c1Cl,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
123,m-Nitrophenol,-2.3180001,1,139.11,1,1,1,63.369999,-1.01,O=[N+]([O-])c1cc(O)ccc1,O=[N+]([O-])c1cccc(O)c1
124,1-Decene,-3.7809998999999994,1,140.27,0,0,7,0.0,-5.5100002,C(=C)CCCCCCCC,C=CCCCCCCCC
125,Glyceryl triacetate,-1.285,1,218.205,0,0,5,78.900002,-0.60000002,O=C(OC(COC(=O)C)COC(=O)C)C,CC(=O)OCC(COC(C)=O)OC(C)=O
126,dimethirimol,-3.5699998999999996,1,209.293,1,1,4,49.25,-2.24,Oc1c(CCCC)c(C)nc(N(C)C)n1,CCCCc1c(C)nc(N(C)C)nc1O
127,Cyfluthrin,-6.8400002,1,434.29400999999996,0,3,6,59.32,-7.336999900000001,Cl/C(/Cl)=C\C1C(C)(C)C1C(=O)OC(C#N)c1cc(Oc2ccccc2)c(F)cc1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1
128,Pyridine,-1.4809999,2,79.101997,0,1,0,12.89,0.75999999,n1ccccc1,c1ccncc1
129,1-Bromoheptane,-3.3659999,1,179.101,0,0,5,0.0,-4.4299998,BrCCCCCCC,CCCCCCCBr
130,"3,4-Dimethylpyridine",-2.0669999,1,107.156,0,1,0,12.89,0.36000001,Cc1c(C)ccnc1,Cc1ccncc1C
131,Fludrocortisone,-3.1719999,1,380.45599,3,4,2,94.83000200000001,-3.4300001000000004,FC12C3(C)C(=CC(=O)CC3)CCC1C1C(C)(C(O)(C(=O)CO)CC1)CC2O,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F
132,ethiofencarb,-2.855,1,225.313,1,1,4,38.330002,-2.0899999,S(CC)Cc1c(OC(=O)NC)cccc1,CCSCc1ccccc1OC(=O)NC
133,Malonic acid diethylester,-1.413,1,160.16901000000001,0,0,4,52.599998,-0.81999999,O=C(OCC)CC(=O)OCC,CCOC(=O)CC(=O)OCC
134,d-Limonene,-3.4289998999999995,1,136.23801,0,1,1,0.0,-4.2600002,C(=C)(C)C1CC=C(C)CC1,C=C(C)C1CC=C(C)CC1
135,Indan,-3.0569999,2,118.179,0,2,0,0.0,-3.04,c12c(cccc1)CCC2,c1ccc2c(c1)CCC2
136,p-t-Butylphenol,-3.1919999,1,150.22099,1,1,0,20.23,-2.4100001,Oc1ccc(C(C)(C)C)cc1,CC(C)(C)c1ccc(O)cc1
137,Cyclopropyl-5-spirobarbituric acid,-0.08800000000000001,1,154.125,2,2,0,75.269997,-1.886,O=C1C2(C(=O)NC(=O)N1)CC2,O=C1NC(=O)C2(CC2)C(=O)N1
138,m-Chloroiodobenzene,-4.3839998,1,238.455,0,1,0,0.0,-3.55,Ic1cc(Cl)ccc1,Clc1cccc(I)c1
139,1-Bromonapthalene,-4.434,1,207.07001,0,2,0,0.0,-4.3499999,Brc1c2c(ccc1)cccc2,Brc1cccc2ccccc12
140,trans-2-Pentene ,-2.076,1,70.135002,0,0,1,0.0,-2.54,C(=C/C)\CC,C/C=C/CC
141,"2,6-Dimethylpyridine",-2.0980000000000003,1,107.156,0,1,0,12.89,0.44999999,Cc1nc(C)ccc1,Cc1cccc(C)n1
142,Trichloroethylene,-2.312,1,131.38901,0,0,0,0.0,-1.96,Cl/C(/Cl)=C\Cl,ClC=C(Cl)Cl
143,1-Napthylamine,-2.721,1,143.189,1,2,0,26.02,-1.92,Nc1c2c(ccc1)cccc2,Nc1cccc2ccccc12
144,m-Xylene ,-3.0350001,1,106.16799999999999,0,1,0,0.0,-2.8199999,Cc1cc(C)ccc1,Cc1cccc(C)c1
145,2-hydroxypteridine,-1.4040000000000001,1,148.125,1,2,0,71.790001,-1.9469999999999998,Oc1nc2nccnc2cn1,Oc1ncc2nccnc2n1
146,Methanol,0.44100001,1,32.042,1,0,0,20.23,1.5700001000000001,OC,CO
148,2-Butanone,-0.491,1,72.10700200000001,0,0,1,17.07,0.51999998,O=C(CC)C,CCC(C)=O
149,5-fluorouracil,-0.792,1,130.078,2,1,0,65.720001,-1.077,FC=1C(=O)NC(=O)NC=1,O=c1[nH]cc(F)c(=O)[nH]1
150,tubercidin,-0.89200002,1,266.25699,4,3,2,126.65,-1.95,OCC1C(O)C(O)C(n2c3ncnc(N)c3cc2)O1,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
151,"1,3-Benzenediol",-1.59,1,110.11200000000001,2,1,0,40.459998999999996,0.81,Oc1cc(O)ccc1,Oc1cccc(O)c1
152,1-Hexanol,-1.3969999999999998,1,102.177,1,0,4,20.23,-1.24,OCCCCCC,CCCCCCO
153,1-Chloropentane,-2.2939998999999998,1,106.596,0,0,3,0.0,-2.73,ClCCCCC,CCCCCCl
154,"1,3-Butadiene",-1.376,1,54.091999,0,0,1,0.0,-1.87,C(C=C)=C,C=CC=C
155,Propyl acetate,-1.125,1,102.133,0,0,2,26.299999,-0.72000003,O=C(OCCC)C,CCCOC(C)=O
