,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,cano_smiles
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6615,O=C(OCCOC(=O)C(=C)C)C(=C)C,C=C(C)C(=O)OCCOC(=O)C(=C)C
14,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,,TOX15748,Cl/C=C\C[N+]12CN3CN(C1)CN(C2)C3,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TOX14833,O=C(O)Cc1c2c(ccc1)cccc2,O=C(O)Cc1cccc2ccccc12
16,0.0,0.0,0.0,,0.0,,,,,0.0,,,TOX26529,O(CC(O)CN)CCCCCCCCCC,CCCCCCCCCCOCC(O)CN
17,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,TOX26524,O=C(N(CC)CC)c1cnccc1,CCN(CC)C(=O)c1cccnc1
18,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,TOX26525,O(C)c1cc(O)cc(O)c1,COc1cc(O)cc(O)c1
19,,,,,,,,0.0,,0.0,,,TOX26526,O=C(OCC)c1cnccc1,CCOC(=O)c1cccnc1
20,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,TOX26521,S(=O)(=O)(O)c1c2c(c(OCC)cc1)nccc2,CCOc1ccc(S(=O)(=O)O)c2cccnc12
21,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX26523,O=C(O)[C@H](O)c1ccccc1,O=C(O)[C@H](O)c1ccccc1
22,0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0,TOX4460,N(=Nc1ccccc1)c1ccc(N)cc1,Nc1ccc(N=Nc2ccccc2)cc1
23,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,,,TOX22631,Clc1c(Cl)ccc([C@H]2c3c([C@H](NC)C2)cccc3)c1,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22632,Clc1cc(Cl)cc(C(=O)OC2C[C@@H]3N(C)[C@H](C2)CC3)c1,CN1[C@H]2CC[C@@H]1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2
25,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX22633,Clc1cc2N(CCCN(C)C)c3c(cccc3)CCc2cc1,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1883,OCC#C,C#CCO
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX4463,S(=O)(=O)(O)c1c(N)cccc1,Nc1ccccc1S(=O)(=O)O
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1885,OC(CC(O)C)(C)C,CC(O)CC(C)(C)O
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1886,NC(CC(C)(C)C)(C)C,CC(C)(C)CC(C)(C)N
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1889,O=C(CC(C)C)C,CC(=O)CC(C)C
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1888,O=C(CCC)C,CCCC(C)=O
32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4465,Nc1[nH]c2c(n1)cccc2,Nc1nc2ccccc2[nH]1
33,0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,TOX1106,Clc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX161,c1(-c2ccccc2)ccccc1,c1ccc(-c2ccccc2)cc1
35,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,TOX22180,Clc1c(Cl)ccc(NC(=O)NC)c1,CNC(=O)Nc1ccc(Cl)c(Cl)c1
36,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22181,Clc1c(C)ccc(NC(=O)C)c1,CC(=O)Nc1ccc(C)c(Cl)c1
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX22187,S=C(NCCCC)NCCCC,CCCCNC(=S)NCCCC
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22188,O=C(NCCCC)NCCCC,CCCCNC(=O)NCCCC
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX22189,N(C(C)C)(C(C)C)c1ccccc1,CC(C)N(c1ccccc1)C(C)C
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7876,C(C)c1cc(C)ccc1,CCc1cccc(C)c1
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX7877,P(OCCCCCCCC(C)C)(OCCCCCCCC(C)C)Oc1ccccc1,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1
42,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX7875,O=C(OC(CO)CO)CCCCCCC/C=C\CCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX7870,O=C1C(/C=C/CCCCCCCCCC)CC(=O)O1,CCCCCCCCCC/C=C/C1CC(=O)OC1=O
44,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,,TOX4110,Clc1c(NC(C(=O)OC(C#N)c2cc(Oc3ccccc3)ccc2)C(C)C)ccc(C(F)(F)F)c1,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4112,Clc1c(Oc2cc(C(=O)NS(=O)(=O)C)c([N+](=O)[O-])cc2)ccc(C(F)(F)F)c1,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
46,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4113,S=P(Sc1ccccc1)(OCC)CC,CCOP(=S)(CC)Sc1ccccc1
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27698,OCCCC/C=C\CC,CC/C=C\CCCCO
48,,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,TOX27695,O=C(Oc1cc2c(cc1)cccc2)c1c(N)cccc1,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1
49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX24280,O(C)c1cc2c([C@@H](O)[C@H]3N4C[C@H](C=C)C(C3)CC4)ccnc2cc1,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX10138,O=C(CCC(=O)C)C,CC(=O)CCC(C)=O
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX21464,N#CCCNCCC#N,N#CCCNCCC#N
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,TOX21728,S(=O)(=O)([O-])c1c(/C=C/c2c(S(=O)(=O)[O-])cc(N=Nc3ccc(OCC)cc3)cc2)ccc(N=Nc2ccc(OCC)cc2)c1,CCOc1ccc(N=Nc2ccc(/C=C/c3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1
53,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX21721,S(=O)(=O)([O-])c1c2nc(C3C(=O)c4c(C3=O)cccc4)ccc2cc(S(=O)(=O)[O-])c1,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1
54,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0,TOX21726,S(=O)(=O)([O-])c1c(N=Nc2ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)cc2)c(O)c2c(c1)cc(NC(=O)c1ccccc1)cc2,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1
55,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX24000,S(C)c1cc2C(N3CCN(C)CC3)Cc3c(Sc2cc1)cccc3,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
56,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,TOX24002,FC(F)(F)c1ccc(/C(=N\OCCN)/CCCCOC)cc1,COCCCC/C(=N/OCCN)c1ccc(C(F)(F)F)cc1
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27071,OCCc1c(C)cccc1,Cc1ccccc1CCO
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27070,Cc1c(C)nc(C)c(C)n1,Cc1nc(C)c(C)nc1C
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27072,OC1C=C(C)CC(C)(C)C1,CC1=CC(O)CC(C)(C)C1
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27075,Cc1c(C)ncc(C)n1,Cc1cnc(C)c(C)n1
61,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27074,O=C(OCC(C)C)c1ccccc1,CC(C)COC(=O)c1ccccc1
62,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27078,C(=C)(C)[C@@H]1CC=C(C)CC1,C=C(C)[C@@H]1CC=C(C)CC1
64,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,,TOX957,O=[N+]([O-])c1c(N)ccc(N)c1,Nc1ccc(N)c([N+](=O)[O-])c1
65,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24915,CC1Nc2c(OC1)cccc2,CC1COc2ccccc2N1
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24914,Clc1c(O)c(C(=O)O)cc(Cl)c1,O=C(O)c1cc(Cl)cc(Cl)c1O
67,0.0,,0.0,,,,,,0.0,,,,TOX24913,O=C(NCCCN(C)C)CCCCCCCCCCC,CCCCCCCCCCCC(=O)NCCCN(C)C
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24911,SCCC(=O)OCCCCCC(C)C,CC(C)CCCCCOC(=O)CCS
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX956,[As](=O)(O)(O)c1cc([N+](=O)[O-])c(O)cc1,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TOX24919,SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)CC,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24918,Brc1c(OCC=C)c(Br)cc(Br)c1,C=CCOc1c(Br)cc(Br)cc1Br
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX9733,O[C@@H]1[C@@H](C(C)C)CC[C@H](C)C1,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
74,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX6050,C(=C/c1ccccc1)\c1ccccc1,C(=C/c1ccccc1)\c1ccccc1
75,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX5649,Cc1cc2c(c3c(cc2)cccc3)cc1,Cc1ccc2c(ccc3ccccc32)c1
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2968,O=C1N(C)C(=O)c2n(CC3OCCO3)cnc2N1C,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
77,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,TOX2967,FC=1C(=O)NC(=O)N([C@H]2[C@H](O)[C@H](O)[C@@H](C)O2)C=1,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2617,O=C(OC)C1=CCCN(C)C1,COC(=O)C1=CCCN(C)C1
80,,,,,,,,0.0,,0.0,,,TOX2611,O(C)c1ccc(C2C(=O)c3c(C2=O)cccc3)cc1,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5642,O=[N+]([O-])c1c(C)ccc(C(=O)O)c1,Cc1ccc(C(=O)O)cc1[N+](=O)[O-]
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5641,O=[N+]([O-])c1c(C)cc(C(=O)O)cc1,Cc1cc(C(=O)O)ccc1[N+](=O)[O-]
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX2612,O=C(OC1C[C@@H]2[N+](C)(C)[C@H](C1)CC2)C(CCC)CCC,CCCC(CCC)C(=O)OC1C[C@@H]2CC[C@H](C1)[N+]2(C)C
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27158,OC(CCCCC)C,CCCCCC(C)O
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1709,O=C(N)c1ccccc1,NC(=O)c1ccccc1
87,,,,,,,,0.0,,0.0,,,TOX25756,Nc1oc2c(n1)CCN(CC)CC2,CCN1CCc2nc(N)oc2CC1
88,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,TOX25757,O[C@]1(C(C)(C)C)C[C@@H]2N(C[C@@H]3c4c2cccc4CCc2c3cccc2)CC1,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX9559,O=C(N(CO)C1N(CO)C(=O)N(CO)C1=O)NCO,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO
90,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX25755,Br/C=C/C=1C(=O)NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2)C=1,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br
91,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,TOX25752,OCCN1CCN(CCCN2c3c(cccc3)C=Cc3c2cccc3)CC1,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25753,O=C(N)Cc1ccc(OC[C@H](O)CNC(C)C)cc1,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1
93,0.0,,0.0,,,0.0,,1.0,0.0,0.0,0.0,0.0,TOX25750,Fc1ccc(C(CCCN2CCN(C(=O)NCC)CC2)c2ccc(F)cc2)cc1,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
94,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0,TOX958,O=[N+]([O-])c1cc(N)c(N)cc1,Nc1ccc([N+](=O)[O-])cc1N
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4786,O=C(O[C@H]1[C@H](O)[C@H](O)C[C@@](O)(C(=O)O)C1)/C=C/c1cc(O)c(O)cc1,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O
97,0.0,,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,TOX18317,Clc1c(Cl)cc(Cl)c(O)n1,Oc1nc(Cl)c(Cl)cc1Cl
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX5391,O=C/C=C/C=C/C,C/C=C/C=C/C=O
99,1.0,,0.0,,,0.0,,1.0,0.0,0.0,,0.0,TOX4781,Clc1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl
100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX5395,[Si](N[Si](C)(C)C)(C)(C)C,C[Si](C)(C)N[Si](C)(C)C
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX4783,ClCCOC(=O)C=C,C=CC(=O)OCCCl
102,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,TOX12376,ClCC(=O)N(C(COC)C)c1c(C)scc1C,COCC(C)N(C(=O)CCl)c1c(C)csc1C
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX25538,S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3nc(N)sc3)[C@H]2SC1)c1n(CCN(C)C)nnn1,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
104,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX12375,Fc1cc(F)cc(NC(=O)N/N=C(/C)\c2c(C(=O)O)cccn2)c1,C/C(=N/NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O
105,0.0,0.0,0.0,,,,,1.0,,0.0,,,TOX12372,Clc1c(C2(Cn3ncnc3)OC(C)CO2)ccc(Oc2ccc(Cl)cc2)c1,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25533,O=C(OCCN(CC)CC)C(Cc1c2c(ccc1)cccc2)CC1OCCC1,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25530,S(=O)(=O)(N)c1sc2S(=O)(=O)[C@@H](C)C[C@H](NCC)c2c1,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25531,S(=O)(=O)(N)c1sc2S(=O)(=O)N(CCCOC)C[C@H](NCC)c2c1,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25536,O=C(N)C(CCN(C(C)C)C(C)C)(c1ncccc1)c1ccccc1,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,TOX25537,O[C@@H]1[C@@H](CC)[C@H]2C3[C@@H](O)[C@@]45[C@@H](N(C)c6c4cccc6)[C@@H](N1[C@H]3C5)C2,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O
111,1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,TOX25534,F[C@@H]1C=2[C@@](C)([C@H]3[C@@H](O)C[C@]4(C)[C@]5(C(=O)CO)OC(C)(C)O[C@@H]5C[C@H]4[C@@H]3C1)C=CC(=O)C=2,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
112,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX12379,S(C(=O)c1c(CC(C)C)c(C(SC)=O)c(C(F)F)nc1C(F)(F)F)C,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C
113,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX28632,O=C(O)/C(=C\C(=O)O)/CC(=O)O,O=C(O)/C=C(/CC(=O)O)C(=O)O
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX28633,O=C(O[C@H]1CC(C)(C)C(/C=C/C(=C\C=C\C(=C/C=C\C=C(/C=C/C=C(\C=C\C=2C(C)(C)C[C@H](OC(=O)CCCCCCCCCCCCCCC)CC=2C)/C)\C)\C)/C)=C(C)C1)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C\C=C\C(C)=C/C=C\C=C(C)/C=C/C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1
115,,,,,,,,0.0,,0.0,,,TOX28630,O=C([C@@H](O)[C@H](O)[C@@H](O)CO)CO,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO
116,0.0,0.0,0.0,,,0.0,,1.0,0.0,,,1.0,TOX14792,O=C(Nc1ccccc1)C=1S(=O)(=O)CCOC=1C,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
117,,,,,,,,0.0,,0.0,,,TOX28636,O=C(CNC)c1cc(O)c(O)cc1,CNCC(=O)c1ccc(O)c(O)c1
118,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX24394,O=C1CCC(C(C)(C)C)CC1,CC(C)(C)C1CCC(=O)CC1
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX3568,O=C(NCN1CCCC1)C=1C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](O)(C)C3C[C@H]2[C@H](N(C)C)C=1O,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12
120,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,TOX28634,Clc1cc2C(c3ccccc3)=NCCN(C)c2cc1,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX3565,N(CCc1c2c([nH]c1)ccc(Cn1ncnc1)c2)(C)C,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12
