,CMPD_CHEMBLID,exp,smiles,cano_smiles
21,CHEMBL2036736,1.92,Clc1ccc(C(=O)Nc2oc(C(=O)Nc3ccc(N4CCOCC4)cc3)nn2)cc1,O=C(Nc1nnc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1
22,CHEMBL2179291,3.1700001,O(C)c1ccc(Oc2cc(CN3CC(N4C(=O)NC(=O)C(C)=C4)CCC3)ccc2)cc1,COc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1
23,CHEMBL2158823,2.1700001,Clc1c(Cl)ccc(OC2CCN(CC3CCN(c4cc(C(=O)O)ccc4)CC3)CC2)c1,O=C(O)c1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1
24,CHEMBL641,1.2,O([C@H](CCNC)c1ccccc1)c1c(C)cccc1,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
25,CHEMBL1289785,3.9300001000000004,Clc1c(N2CCN(C(=O)CCCc3ccncc3)CC2)ccc(Cl)c1,O=C(CCCc1ccncc1)N1CCN(c2ccc(Cl)cc2Cl)CC1
26,CHEMBL1381135,1.9,O(C)c1c(N(C)C)nc(-c2ncccc2)nc1,COc1cnc(-c2ccccn2)nc1N(C)C
27,CHEMBL528217,2.27,N(CCCCCCCCNc1c2c(nc(-c3ccccc3)c1)cccc2)c1c2c(nc(-c3ccccc3)c1)cccc2,c1ccc(-c2cc(NCCCCCCCCNc3cc(-c4ccccc4)nc4ccccc34)c3ccccc3n2)cc1
28,CHEMBL2177621,1.2,S(C)c1n(-c2ccc(C(=O)O)cc2)ncc1C(=O)NC1C2CC3CC1CC(C2)C3,CSc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1
29,CHEMBL475386,1.14,N(C)C=1C(c2sccc2)N=C(c2occn2)c2c(nccc2)N=1,CNC1=Nc2ncccc2C(c2ncco2)=NC1c1cccs1
30,CHEMBL2325699,2.5999999,S(=O)(=O)(C)C1(c2nc(-c3c4c([nH]cc4)ccc3)nc(N3CC4OC(C3)CC4)c2)CC1,CS(=O)(=O)C1(c2cc(N3CC4CCC(C3)O4)nc(-c3cccc4[nH]ccc34)n2)CC1
31,CHEMBL2010845,3.3,FC(F)(F)c1ccc(CN2C[C@H](F)[C@H](N(C(=O)Cc3ccc(-n4nnnc4)cc3)C)CC2)cc1,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C[C@@H]1F
32,CHEMBL103,3.9400001000000002,O=C(C)[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
33,CHEMBL2208428,2.3399999,Clc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)c3c(S(=O)(=O)C)cccc3)CC2)c1,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1
34,CHEMBL1796293,2.5699999,O=C(NCc1ccncc1)c1ccc(Oc2c(C#N)cccc2)cc1,N#Cc1ccccc1Oc1ccc(C(=O)NCc2ccncc2)cc1
35,CHEMBL1557436,3.6199999,O=C(NCc1ccccc1)c1c(N)c2c(N(C)C)ccnc2s1,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12
36,CHEMBL2031236,2.0599998999999998,O=C(Nc1cc(N2C(=O)c3c(N=C2)ccc(N2CCN(C)CC2)c3)c(C)cc1)c1ncsc1,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O
37,CHEMBL2087849,4.329999900000001,Clc1cc2c(Cn3c(-c4n(C)cnc4)c4C(=O)N(CC5CC5)C(=O)N(CC5CC5)c4n3)ccnc2cc1,Cn1cncc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12
38,CHEMBL1235773,2.55,O(C)c1cc2c(CCN3CCC(NCc4ncc5OCSc5c4)CC3)c(C#N)cnc2cc1,COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1
39,CHEMBL339051,2.78,Clc1c(Cl)ccc([C@@H](CN(C(=O)c2c(OC)c(C#N)cc3c2cccc3)C)CCN2CCC(C(=O)NC)(N3C(=O)CCCC3)CC2)c1,CNC(=O)C1(N2CCCCC2=O)CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(C#N)cc3ccccc23)c2ccc(Cl)c(Cl)c2)CC1
40,CHEMBL168899,1.4,O=C1N(c2ccccc2)B(O)c2c(N1)cccc2,O=C1Nc2ccccc2B(O)N1c1ccccc1
41,CHEMBL517,-0.54000002,O=C(N)C(CCN(C(C)C)C(C)C)(c1ncccc1)c1ccccc1,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
42,CHEMBL578288,2.9100001,N#C/N=C(/N)\c1c(N)nc(Nc2ccccc2)s1,N#C/N=C(/N)c1sc(Nc2ccccc2)nc1N
43,CHEMBL1778648,-0.40000001,S(=O)(=O)(CC)c1cc(C)c(-c2c(O[C@@H](C(=O)O)C)ccc(C(F)(F)F)c2)cc1,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@H](C)C(=O)O)c(C)c1
44,CHEMBL1778635,-0.16,FC(F)(F)c1cc(c(OCC(=O)O)cc1)-c1c(F)ccc(C#N)c1,N#Cc1ccc(F)c(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1
45,CHEMBL1234354,2.2,O(C)c1ncc(C=2C(=O)N(C3CCC(OCCO)CC3)c3nc(N)nc(C)c3C=2)cc1,COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CCC(OCCO)CC3)c2=O)cn1
46,CHEMBL1550278,3.4000001,N(C(C)c1ccccc1)c1ncnc2c1cccc2,CC(Nc1ncnc2ccccc12)c1ccccc1
47,CHEMBL1096,1.1,O=C(O)c1c(N)nc2Oc3c(C(=O)c2c1)cc(C(C)C)cc3,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
48,CHEMBL1807822,2.28,O(CCOCCc1c2c(ccc1)cccc2)CCCNC[C@H](O)c1c2SC(=O)Nc2c(O)cc1,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCOCCc3cccc4ccccc34)c2s1
49,CHEMBL1310086,3.47,O(C)c1c(Cn2c(C)nc3c2cccc3)cccc1,COc1ccccc1Cn1c(C)nc2ccccc21
50,CHEMBL373364,3.0,Fc1c(COc2cc(OCc3c(F)cccc3)cc(C(=O)Nc3ncc(C(=O)O)cc3)c2)cccc1,O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)nc1
51,CHEMBL484901,-1.17,O=C(O)C(N)Cc1c2c([nH]c1)cccc2,NC(Cc1c[nH]c2ccccc12)C(=O)O
52,CHEMBL1233652,1.95,Fc1cc2c([nH]c(C(=O)N[C@H]3[C@H](CCCC(=O)O)c4c(cccc4)C3)c2)cc1,O=C(O)CCC[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(F)ccc2[nH]1
53,CHEMBL2059196,-0.99000001,FC(F)(F)c1nn(-c2c(-c3cc(C(=O)O)cnc3)cnc3[nH]c(C(=O)NCC)cc23)cc1,CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)O)c3)cnc2[nH]1
54,CHEMBL1934414,2.0,S(=O)(=O)(Nc1n(C2CCCC2)nc(C)c1C(=O)N[C@H](C(C)(C)C)C)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1
55,CHEMBL1415894,3.8,N(c1[nH]nc(Nc2ccccc2)c1)c1ccccc1,c1ccc(Nc2cc(Nc3ccccc3)[nH]n2)cc1
56,CHEMBL2335875,3.21,O=C(NCCOC)c1cc(Nc2nc3c(cc(-c4ccncc4)cc3)cn2)ccc1,COCCNC(=O)c1cccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)c1
57,CHEMBL1916269,0.36000001,S(=O)(=O)(Nc1n(C)ncc1C(=O)NC(CC)CC)c1ccc(C)cc1,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c1ccc(C)cc1
58,CHEMBL1224139,2.1400001,Fc1cc(OC2C[C@@H]3N(Cc4ccccc4)[C@H](C2)CC3)cc(C(=O)N)c1,NC(=O)c1cc(F)cc(OC2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1
59,CHEMBL1082812,1.71,S(CCc1ccccc1)C1=NC(c2ccccc2)=C(C#N)C(=O)N1,N#Cc1c(-c2ccccc2)nc(SCCc2ccccc2)[nH]c1=O
60,CHEMBL12980,1.1900001,O=C(OC1C2CCN(C1)CC2)C(O)(c1ccccc1)c1ccccc1,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1
61,CHEMBL1412343,2.7,Brc1sc(S(=O)(=O)CCC(=O)Nc2c(C)cccc2)cc1,Cc1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)s1
62,CHEMBL453862,2.77,Fc1c(-c2n(C(C)C)c(C)nc2)nc(Nc2ccc(C(=O)N(C)C)cc2)nc1,Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)cc3)ncc2F)n1C(C)C
63,CHEMBL296572,3.8,O(C)c1cc(-c2nc(-c3ccccc3)[nH]c2)ccc1,COc1cccc(-c2c[nH]c(-c3ccccc3)n2)c1
64,CHEMBL239513,2.8699999,O=C(COc1ccccc1)c1ccccc1,O=C(COc1ccccc1)c1ccccc1
65,CHEMBL479445,1.91,Fc1c(Nc2c(C(=O)N)cnc3c2cc(NCCN(C)C)c(OC)c3)ccc(F)c1,COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C
66,CHEMBL2152917,3.4000001,O(CC(C)C)c1cc2C3(C4(Cc2cc1)CCC(OC)CC4)N=C(N)C(C)=N3,COC1CCC2(CC1)Cc1ccc(OCC(C)C)cc1C21N=C(C)C(N)=N1
67,CHEMBL299672,3.1300001,Clc1c(F)ccc(Nc2ncnc3c2cc(OCCCN2CCCC2)c(OC)c3)c1,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCC1
68,CHEMBL1682820,3.0,O(Cc1cc2OCCC(=O)c2cc1)c1ccccc1,O=C1CCOc2cc(COc3ccccc3)ccc21
69,CHEMBL247367,2.3299999,Clc1c2[nH]ncc2ccc1,Clc1cccc2cn[nH]c12
70,CHEMBL2010834,2.8,FC(F)(F)c1ccc(CN2CCC(N(C(=O)Cc3ccc(C(=O)NC)cc3)C)CC2)cc1,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1
71,CHEMBL1945293,-0.54000002,O(CCNCc1ccc(CCNC[C@H](O)c2c3SC(=O)Nc3c(O)cc2)cc1)C,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1
72,CHEMBL1652588,3.1600001,Clc1cc2c(Cn3c(-c4n(C)cnc4)c4C(=O)N(CC#C)C(=O)N(CC5CC5)c4n3)ccnc2cc1,C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O
73,CHEMBL190812,2.9100001,O=C(N[C@@H](C)c1ccccc1)c1c(Oc2ccccc2)nccc1,C[C@H](NC(=O)c1cccnc1Oc1ccccc1)c1ccccc1
74,CHEMBL235392,1.55,Clc1c(C(=O)NCC23CC4CC(C2)CC(C3)C4)cc(CN2CC3OC(C2)CNC3)cc1,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl
75,CHEMBL62193,0.2,S(=O)(=O)(Nc1nc(OC)nc(OC)c1)c1ccc(N)cc1,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
76,CHEMBL1784338,1.4299998999999999,S(=O)(=O)(CC1(N(O)C=O)CCOCC1)N1CCC(CCc2c(C)cnc(C)c2)CC1,Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1
77,CHEMBL1650698,2.47,Fc1c(Nc2n[nH]c(C3CC3)c2)nc(N[C@@H](C)c2ncc(F)cn2)nc1,C[C@H](Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ncc(F)cn1
78,CHEMBL2062583,2.48,O=C(Nc1cc2c(C3=Nc4c(C#N)cnn4C(NC4CC4)=C3)cn(CCCO)c2cc1)C,CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO
79,CHEMBL4,-0.44999999,Fc1c(N2CCN(C)CC2)c2OCC(C)N3c2c(C(=O)C(C(=O)O)=C3)c1,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
80,CHEMBL2158534,2.0,O=C(NC1C2CC3(O)CC1CC(C3)C2)c1c(C2(C)CC2)nc(N2CCOCC2)nc1,CC1(c2nc(N3CCOCC3)ncc2C(=O)NC2C3CC4CC2CC(O)(C4)C3)CC1
81,CHEMBL492234,2.5999999,S(=O)(=O)(Nc1c(C)ccc(C(=O)OC)c1)c1cc2C(=O)SN(C)c2cc1,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3c(c2)c(=O)sn3C)c1
82,CHEMBL131921,3.5,O(C)c1ccc(C=2C(=O)c3c(O)cc(O)cc3OC=2)cc1,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
83,CHEMBL21731,0.88999999,N(CCCC12c3c(cccc3)C(c3c1cccc3)CC2)C,CNCCCC12CCC(c3ccccc31)c1ccccc12
84,CHEMBL346528,1.3,OC=1n2nccc2N=C(c2ccccc2)C=1,Oc1cc(-c2ccccc2)nc2ccnn12
85,CHEMBL133501,2.01,Fc1c(c(F)cc(N2C(=O)O[C@@H](COc3nocc3)C2)c1)C1=CCN(C=O)CC1,O=CN1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1
86,CHEMBL2087854,3.5899998999999996,Clc1cc2c(Cn3c(-c4n(C)cnc4)c4C(=O)N(C(C#C)C)C(=O)N(CC5CC5)c4n3)ccnc2cc1,C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O
87,CHEMBL1689126,0.18000001,Clc1cc(CN2C[C@H](C)N(C(=O)Cc3ccccc3)CC2)c(OCC(=O)O)cc1,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1
88,CHEMBL1650728,2.5999999,Brc1c(Nc2n[nH]c(OC)c2)nc(N[C@@H](C)c2ncc(F)cn2)nc1,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1
90,CHEMBL1800528,2.0999999,O(C)c1cc(CCc2[nH]c3nccc(C)c3n2)ncc1,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1
91,CHEMBL143305,3.72,Clc1c(OCCCc2onc(C)c2)c(Cl)cc(C=2OCCN=2)c1,Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1
92,CHEMBL2326481,1.72,O=C(N(C)C)c1ccc(CN2CCc3c(cc4nc(N)sc4c3)CC2)cc1,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1
93,CHEMBL15245,1.65,O=C(OC)[C@H]1[C@@H](O)CC[C@@H]2[C@@H]1C[C@@H]1N(C2)CCc2c3c([nH]c12)cccc3,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21
94,CHEMBL1852688,3.7,Clc1c(NC(=O)N(C)c2ncnc(Nc3ccc(N4CCN(CC)CC4)cc3)c2)c(Cl)c(OC)cc1OC,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1
95,CHEMBL2171169,2.2,O=C(NCCCN(C(C)C)C[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N)c3nc2)O1)Nc1ccc(C(C)(C)C)cc1,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
96,CHEMBL2216830,2.04,Clc1c(N2C(=O)N(Cc3cc(NC(=O)C=C)ccc3)c3nc(NCCCCN(CC)CC)ncc3C2)c(Cl)c(OC)cc1OC,C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1
97,CHEMBL381098,4.4899998,S(CC)c1c(Cc2c(C(F)(F)F)cccc2)sc2N(CC(C)C)C(=O)N(C)C(=O)c12,CCSc1c(Cc2ccccc2C(F)(F)F)sc2c1c(=O)n(C)c(=O)n2CC(C)C
98,CHEMBL284275,0.2,O(C)c1ccc(Cc2c(N)[nH]nc2N)cc1,COc1ccc(Cc2c(N)n[nH]c2N)cc1
99,CHEMBL2177167,2.0,S(=O)(=O)(N(CCN(C)C)CC)c1ccc(-c2nc(C(=O)Nc3cnccc3)c(N)nc2)cc1,CCN(CCN(C)C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1
100,CHEMBL2331746,1.49,S(=O)(=O)(N1C[C@@H](N2C(=O)NC(=O)C(C)=C2)CCC1)c1cc(Oc2ccccc2)c(O)cc1,Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C2)c(=O)[nH]c1=O
101,CHEMBL1712280,4.2800002,N1(c2ccccc2)N=C2c3c(OCC2C1)cccc3,c1ccc(N2CC3COc4ccccc4C3=N2)cc1
102,CHEMBL1790041,-0.94999999,S(CCN/C(/NC)=C\[N+](=O)[O-])Cc1oc(CN(C)C)cc1,CN/C(=C/[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
103,CHEMBL1184060,1.64,Clc1cc2nc3C(=O)NN(C(CC(C)C)c4ccncc4)C(=O)c3c(O)c2cc1,CC(C)CC(c1ccncc1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O
104,CHEMBL1502799,2.02,FC(F)c1[nH]c2c(n1)cccc2,FC(F)c1nc2ccccc2[nH]1
105,CHEMBL2208436,3.0899999,Clc1c(Cl)ccc(CN2CCC(NC[C@H](O)COc3cc(C#N)ccc3)CC2)c1,N#Cc1cccc(OC[C@@H](O)CNC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)c1
106,CHEMBL480445,2.1800001,Fc1c(Nc2c(C(=O)N)cnc3c2cc(N2CCN(C)CC2)c(OC)c3)ccc(F)c1,COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1
107,CHEMBL1392670,4.4000001,O=C(Oc1c(O)cccc1)c1c2c(ccc1)cccc2,O=C(Oc1ccccc1O)c1cccc2ccccc12
108,CHEMBL1455477,3.28,O(C)c1c(CNc2nccc(C)c2)cccc1,COc1ccccc1CNc1cc(C)ccn1
109,CHEMBL1939414,3.04,Brc1cc(Nc2nc(N)nc3[nH]cnc23)ccc1,Nc1nc(Nc2cccc(Br)c2)c2nc[nH]c2n1
110,CHEMBL1617016,3.1199999,Brc1cc2c(N)c3c(N(c4ccccc4)CC3)nc2cc1,Nc1c2c(nc3ccc(Br)cc13)N(c1ccccc1)CC2
111,CHEMBL2207600,0.059999999000000005,S(=O)(=O)(N(c1ccc(C)cc1)c1ccc(C)cc1)c1c(OC)cc(OC)c(NC(=O)CCC(=O)O)c1,COc1cc(OC)c(S(=O)(=O)N(c2ccc(C)cc2)c2ccc(C)cc2)cc1NC(=O)CCC(=O)O
112,CHEMBL244213,2.49,Fc1ccc(C(=O)C(O)c2ccc(F)cc2)cc1,O=C(c1ccc(F)cc1)C(O)c1ccc(F)cc1
113,CHEMBL404957,1.11,S(=O)(=O)(Cc1ccc(F)cc1)c1oc([C@@H](N)CC(C)C)nn1,CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1
114,CHEMBL520252,2.8099998999999998,O=C(Nc1cnccc1)c1c(C)ccc(NC(=O)c2cc(OCC(C)C)ccc2)c1,Cc1ccc(NC(=O)c2cccc(OCC(C)C)c2)cc1C(=O)Nc1cccnc1
115,CHEMBL190747,3.52,O=C(NCc1c(OC)ccc(OC)c1)c1c(Oc2ccccc2)nccc1,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1
116,CHEMBL1079175,2.5,O=C1N2C(=NN1)c1c(nc(c(-c3ccccc3)c1)-c1ccc(C3(N)CCC3)cc1)C=C2,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
117,CHEMBL1499868,4.48,C(C(C)c1ccccc1)(Cc1[nH]c2c(n1)cccc2)c1[nH]c2c(n1)cccc2,CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1
118,CHEMBL1824042,1.33,Clc1cc2N(CCN3CCC(NCc4nc5NC(=O)COc5cc4)CC3)C(=O)COc2cc1,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1
119,CHEMBL2158827,1.83,Clc1c(Cl)ccc(OC2CCN(CC3CCN(c4ccc(CC(=O)O)cc4)CC3)CC2)c1,O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1
120,CHEMBL520925,3.5999999,Clc1c(F)c(Nc2c(C(=O)N)cnc3c2cc(OC)c(OC)c3)ccc1,COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3F)c2cc1OC
121,CHEMBL181502,3.2,O=C(N(C)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1)C1CCC1,CN(C(=O)C1CCC1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1
122,CHEMBL1962631,-0.56,Clc1c(NCc2ncccc2)nc(N)c(C(=O)NC(=N)N)n1,N=C(N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N
123,CHEMBL470915,3.53,N#Cc1nc(NC2C3CC(C2)CC3)c(N)c(N2CCOCC2)n1,N#Cc1nc(NC2CC3CCC2C3)c(N)c(N2CCOCC2)n1
